method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,repeat,backend,dataset,payload,payload_name,qci_energy,decoded_objective,runtime,wall_clock_runtime_seconds,expected_operating_cost,risk_adjusted_cost,feasibility_after_repair,pre_repair_violation,post_repair_violation,pre_repair_violation_count,post_repair_violation_count,pre_repair_violation_magnitude,post_repair_violation_magnitude,time_to_good_solution,status,solver,breakpoints,piecewise_segments,piecewise_binary_variables,skip_reason,discrete_levels,binary_variable_count,auxiliary_variable_count,cubic_term_count,quadratized_term_count,variable_blowup,approximation_error,restart_count,gpu_backend,best_energy,median_energy,mean_energy,std_energy,reserve_fraction,stress_label,scenario_probability,scenario_total_load_kwh,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_critical_infrastructure_unserved_hours_proxy
Stress-only reserve heuristic baseline,normal,MG1-MG2-MG3,671832.7837441345,671832.7837441345,21602.483744134268,1.0,0.8110625379075638,928.921,0.0,True,4.800001624971628e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,671832.7837441345,4.800001624971628e-05,4.800001624971628e-05,21602.483744134268,21602.483744134268,True,False,False,0,0,0.0,0.0,4.800001624971628e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,low,0.375,10124.343,0.0,0.09175123758647845,0,0
Stress-only reserve heuristic baseline,renewable_shortfall,MG1-MG2-MG3,2002961.41420287,2002961.41420287,22339.338202871637,1.0,0.4357834026760875,2829.4806800000006,0.0,True,3.087497316300869e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,2002961.41420287,3.087497316300869e-05,3.087497316300869e-05,22339.338202871637,22339.338202871637,True,False,False,0,0,0.0,0.0,3.087497316300869e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,medium,0.125,10326.82986,0.0,0.27399315359689685,0,0
Stress-only reserve heuristic baseline,demand_surge,MG1-MG2-MG3,2292778.54306287,2292778.54306287,22339.338202871637,1.0,0.46011912587249026,3243.5051498000016,0.0,True,3.858399577438831e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/demand_surge_MG1-MG2-MG3.json,demand_surge_MG1-MG2-MG3.json,,2292778.54306287,3.858399577438831e-05,3.858399577438831e-05,22339.338202871637,22339.338202871637,True,False,False,0,0,0.0,0.0,3.858399577438831e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,medium,0.125,12372.342199800001,0.0,0.2621577303166116,0,0
Stress-only reserve heuristic baseline,pcc_failure,MG1-MG2-MG3,2334492.043324144,2334492.043324144,15626.43037114718,1.0,0.35830266660826326,3312.6857327899997,0.0,True,3.6541023291647434e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/pcc_failure_MG1-MG2-MG3.json,pcc_failure_MG1-MG2-MG3.json,,2334492.043324144,3.6541023291647434e-05,3.6541023291647434e-05,15626.43037114718,15626.43037114718,True,False,False,0,0,0.0,0.0,3.6541023291647434e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,high,0.0625,10630.560150000001,0.0,0.31161911376702,0,0
Stress-only reserve heuristic baseline,local_generator_failure,MG1-MG2-MG3,1260036713.7051158,980571.8920237313,15186.360023730716,1.0,0.7302787393016303,1379.1427600000006,0.0,True,3.366696182638407e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/local_generator_failure_MG1-MG2-MG3.json,local_generator_failure_MG1-MG2-MG3.json,,1260036713.7051158,3.366696182638407e-05,3.366696182638407e-05,15186.360023730716,15186.360023730716,True,False,False,0,0,0.0,0.0,3.366696182638407e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,high,0.0625,10529.31672,0.0,0.13098122097328274,0,0
Stress-only reserve heuristic baseline,storm_forced_islanding,MG1-MG2-MG3,4072421.840753077,4072421.840753077,11363.664131878879,1.0,0.0,5801.532252316,0.0,True,3.091699909418821e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding_MG1-MG2-MG3.json,,4072421.840753077,3.091699909418821e-05,3.091699909418821e-05,11363.664131878879,11363.664131878879,True,False,False,0,0,0.0,0.0,3.091699909418821e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,high,0.0625,11946.724740000001,0.0,0.48561696854798375,0,0
Stress-only reserve heuristic baseline,restoration,MG1-MG2-MG3,2615839.16645637,2615839.16645637,9506.064910473258,1.0,0.2336699165104339,3723.3535736369995,0.0,True,3.229209687560797e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/restoration_MG1-MG2-MG3.json,restoration_MG1-MG2-MG3.json,,2615839.16645637,3.229209687560797e-05,3.229209687560797e-05,9506.064910473258,9506.064910473258,True,False,False,0,0,0.0,0.0,3.229209687560797e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,medium,0.125,10006.54084,0.0,0.37209197795439164,0,0
Stress-only reserve heuristic baseline,combined_high_stress,MG1-MG2-MG3,11746125.465671845,11746125.465671845,15474.28550831956,0.89170030080074,0.021826992228178854,6997.940809451072,734.6351627470716,True,4.516600165516138e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/combined_high_stress_MG1-MG2-MG3.json,combined_high_stress_MG1-MG2-MG3.json,,11746125.465671845,4.516600165516138e-05,4.516600165516138e-05,15474.28550831956,15657.944299006329,True,False,False,0,0,0.0,0.0,4.516600165516138e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,extreme,0.0625,13186.41898,0.0,0.5306930425966999,4,4
Stress-only reserve heuristic baseline,normal,MG1-MG2-MG3,671832.7837441345,671832.7837441345,21602.483744134268,1.0,0.8110625379075638,928.921,0.0,True,3.3708056434988976e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,671832.7837441345,3.3708056434988976e-05,3.3708056434988976e-05,21602.483744134268,21602.483744134268,True,False,False,0,0,0.0,0.0,3.3708056434988976e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,low,0.375,10124.343,0.0,0.09175123758647845,0,0
Stress-only reserve heuristic baseline,renewable_shortfall,MG1-MG2-MG3,2002961.41420287,2002961.41420287,22339.338202871637,1.0,0.4357834026760875,2829.4806800000006,0.0,True,3.341701813042164e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,2002961.41420287,3.341701813042164e-05,3.341701813042164e-05,22339.338202871637,22339.338202871637,True,False,False,0,0,0.0,0.0,3.341701813042164e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,medium,0.125,10326.82986,0.0,0.27399315359689685,0,0
Stress-only reserve heuristic baseline,demand_surge,MG1-MG2-MG3,2292778.54306287,2292778.54306287,22339.338202871637,1.0,0.46011912587249026,3243.5051498000016,0.0,True,3.408396150916815e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/demand_surge_MG1-MG2-MG3.json,demand_surge_MG1-MG2-MG3.json,,2292778.54306287,3.408396150916815e-05,3.408396150916815e-05,22339.338202871637,22339.338202871637,True,False,False,0,0,0.0,0.0,3.408396150916815e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,medium,0.125,12372.342199800001,0.0,0.2621577303166116,0,0
Stress-only reserve heuristic baseline,pcc_failure,MG1-MG2-MG3,2334492.043324144,2334492.043324144,15626.43037114718,1.0,0.35830266660826326,3312.6857327899997,0.0,True,3.304099664092064e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/pcc_failure_MG1-MG2-MG3.json,pcc_failure_MG1-MG2-MG3.json,,2334492.043324144,3.304099664092064e-05,3.304099664092064e-05,15626.43037114718,15626.43037114718,True,False,False,0,0,0.0,0.0,3.304099664092064e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,high,0.0625,10630.560150000001,0.0,0.31161911376702,0,0
Stress-only reserve heuristic baseline,local_generator_failure,MG1-MG2-MG3,1260036713.7051158,980571.8920237313,15186.360023730716,1.0,0.7302787393016303,1379.1427600000006,0.0,True,3.329198807477951e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/local_generator_failure_MG1-MG2-MG3.json,local_generator_failure_MG1-MG2-MG3.json,,1260036713.7051158,3.329198807477951e-05,3.329198807477951e-05,15186.360023730716,15186.360023730716,True,False,False,0,0,0.0,0.0,3.329198807477951e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,high,0.0625,10529.31672,0.0,0.13098122097328274,0,0
Stress-only reserve heuristic baseline,storm_forced_islanding,MG1-MG2-MG3,4072421.840753077,4072421.840753077,11363.664131878879,1.0,0.0,5801.532252316,0.0,True,3.0542025342583656e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding_MG1-MG2-MG3.json,,4072421.840753077,3.0542025342583656e-05,3.0542025342583656e-05,11363.664131878879,11363.664131878879,True,False,False,0,0,0.0,0.0,3.0542025342583656e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,high,0.0625,11946.724740000001,0.0,0.48561696854798375,0,0
Stress-only reserve heuristic baseline,restoration,MG1-MG2-MG3,2615839.16645637,2615839.16645637,9506.064910473258,1.0,0.2336699165104339,3723.3535736369995,0.0,True,3.200001083314419e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/restoration_MG1-MG2-MG3.json,restoration_MG1-MG2-MG3.json,,2615839.16645637,3.200001083314419e-05,3.200001083314419e-05,9506.064910473258,9506.064910473258,True,False,False,0,0,0.0,0.0,3.200001083314419e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,medium,0.125,10006.54084,0.0,0.37209197795439164,0,0
Stress-only reserve heuristic baseline,combined_high_stress,MG1-MG2-MG3,11746125.465671845,11746125.465671845,15474.28550831956,0.89170030080074,0.021826992228178854,6997.940809451072,734.6351627470716,True,3.400002606213093e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/combined_high_stress_MG1-MG2-MG3.json,combined_high_stress_MG1-MG2-MG3.json,,11746125.465671845,3.400002606213093e-05,3.400002606213093e-05,15474.28550831956,15657.944299006329,True,False,False,0,0,0.0,0.0,3.400002606213093e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,extreme,0.0625,13186.41898,0.0,0.5306930425966999,4,4
